,Local Authority,School Holidays,Starts,Finishes
0,Barking-and-Dagenham,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,Barking-and-Dagenham,Winter Holidays,21 Dec 2018(Fri),2 Jan 2019(Wed)
2,Barking-and-Dagenham,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Barking-and-Dagenham,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Barking-and-Dagenham,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Barking-and-Dagenham,Summer Holidays,25 Jul 2019(Thu),2 Sep 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,Barnet,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,Barnet,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Barnet,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Barnet,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Barnet,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Barnet,Summer Holidays,24 Jul 2019(Wed),30 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,Barnsley,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Barnsley,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Barnsley,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Barnsley,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Barnsley,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Barnsley,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,Bath-and-North-East-Somerset,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Bath-and-North-East-Somerset,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Bath-and-North-East-Somerset,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Bath-and-North-East-Somerset,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Bath-and-North-East-Somerset,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Bath-and-North-East-Somerset,Summer Holidays,24 Jul 2019(Wed),30 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,Bedford,Autumn Half Term Holidays,22 Oct 2018(Mon),29 Oct 2018(Mon)
1,Bedford,Winter Holidays,20 Dec 2018(Thu),2 Jan 2019(Wed)
2,Bedford,Spring Half Term Holidays,11 Feb 2019(Mon),15 Feb 2019(Fri)
3,Bedford,Spring Holidays,8 Apr 2019(Mon),23 Apr 2019(Tue)
4,Bedford,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Bedford,Summer Holidays,22 Jul 2019(Mon),3 Sep 2019(Tue)
,Local Authority,School Holidays,Starts,Finishes
0,Bexley,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,Bexley,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Bexley,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Bexley,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Bexley,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Bexley,Summer Holidays,24 Jul 2019(Wed),30 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,Birmingham,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Birmingham,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Birmingham,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Birmingham,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Birmingham,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Birmingham,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,Blackburn-with-Darwen,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,Blackburn-with-Darwen,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Blackburn-with-Darwen,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Blackburn-with-Darwen,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Blackburn-with-Darwen,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Blackburn-with-Darwen,Summer Holidays,24 Jul 2019(Wed),
,Local Authority,School Holidays,Starts,Finishes
0,Blackpool,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,Blackpool,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Blackpool,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Blackpool,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Blackpool,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Blackpool,Summer Holidays,22 Jul 2019(Mon),
,Local Authority,School Holidays,Starts,Finishes
0,Bolton,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,Bolton,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Bolton,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Bolton,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Bolton,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Bolton,Summer Holidays,22 Jul 2019(Mon),30 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,Bournemouth,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,Bournemouth,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Bournemouth,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Bournemouth,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Bournemouth,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Bournemouth,Summer Holidays,24 Jul 2019(Wed),30 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,Bracknell-Forest,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,Bracknell-Forest,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Bracknell-Forest,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Bracknell-Forest,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Bracknell-Forest,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Bracknell-Forest,Summer Holidays,24 Jul 2019(Wed),3 Sep 2019(Tue)
,Local Authority,School Holidays,Starts,Finishes
0,Bradford,Autumn Half Term Holidays,22 Oct 2018(Mon),24 Oct 2018(Wed)
1,Bradford,Winter Holidays,20 Dec 2018(Thu),1 Jan 2019(Tue)
2,Bradford,Spring Half Term Holidays,18 Feb 2019(Mon),20 Feb 2019(Wed)
3,Bradford,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Bradford,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Bradford,Summer Holidays,22 Jul 2019(Mon),
,Local Authority,School Holidays,Starts,Finishes
0,Brent,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,Brent,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Brent,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,Brent,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Brent,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Brent,Summer Holidays,29 Jul 2019(Mon),30 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,Brighton-and-Hove,Autumn Half Term Holidays,22 Oct 2018(Mon),2 Nov 2018(Fri)
1,Brighton-and-Hove,Winter Holidays,20 Dec 2018(Thu),2 Jan 2019(Wed)
