,Local Authority,School Holidays,Starts,Finishes
0,Blaenau Gwent,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Blaenau Gwent,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Blaenau Gwent,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Blaenau Gwent,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Blaenau Gwent,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Blaenau Gwent,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Blaenau Gwent,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Blaenau Gwent,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Blaenau Gwent,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Blaenau Gwent,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Blaenau Gwent,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Blaenau Gwent,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Bridgend,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Bridgend,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Bridgend,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Bridgend,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Bridgend,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Bridgend,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Bridgend,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Bridgend,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Bridgend,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Bridgend,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Bridgend,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Bridgend,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Caerphilly,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Caerphilly,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Caerphilly,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Caerphilly,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Caerphilly,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Caerphilly,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Caerphilly,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Caerphilly,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Caerphilly,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Caerphilly,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Caerphilly,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Caerphilly,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Cardiff,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Cardiff,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Cardiff,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Cardiff,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Cardiff,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Cardiff,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Cardiff,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Cardiff,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Cardiff,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Cardiff,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Cardiff,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Cardiff,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Carmarthenshire,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Carmarthenshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Carmarthenshire,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Carmarthenshire,Spring Holidays,15 Apr 2019(Mon),29 Apr 2019(Mon)
4,Carmarthenshire,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Carmarthenshire,Summer Holidays,23 Jul 2019(Tue),2 Sep 2019(Mon)
6,Carmarthenshire,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Carmarthenshire,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Carmarthenshire,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Carmarthenshire,Spring Holidays,6 Apr 2020(Mon),20 Apr 2020(Mon)
10,Carmarthenshire,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Carmarthenshire,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Ceredigion,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Ceredigion,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Ceredigion,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Ceredigion,Spring Holidays,15 Apr 2019(Mon),29 Apr 2019(Mon)
4,Ceredigion,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Ceredigion,Summer Holidays,22 Jul 2019(Mon),2 Sep 2019(Mon)
6,Ceredigion,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Ceredigion,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Ceredigion,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Ceredigion,Spring Holidays,6 Apr 2020(Mon),20 Apr 2020(Mon)
10,Ceredigion,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Ceredigion,Summer Holidays,20 Jul 2020(Mon),
,Local Authority,School Holidays,Starts,Finishes
0,Conwy,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Conwy,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Conwy,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Conwy,Spring Holidays,15 Apr 2019(Mon),29 Apr 2019(Mon)
