0,England,Barking-and-Dagenham,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,England,Barking-and-Dagenham,Winter Holidays,21 Dec 2018(Fri),2 Jan 2019(Wed)
2,England,Barking-and-Dagenham,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Barking-and-Dagenham,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,England,Barking-and-Dagenham,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Barking-and-Dagenham,Summer Holidays,25 Jul 2019(Thu),2 Sep 2019(Mon)
0,England,Barnet,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,England,Barnet,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,England,Barnet,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Barnet,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,England,Barnet,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Barnet,Summer Holidays,24 Jul 2019(Wed),30 Aug 2019(Fri)
0,England,Barnsley,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,England,Barnsley,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,England,Barnsley,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Barnsley,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,England,Barnsley,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Barnsley,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
0,England,Bath-and-North-East-Somerset,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,England,Bath-and-North-East-Somerset,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,England,Bath-and-North-East-Somerset,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Bath-and-North-East-Somerset,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,England,Bath-and-North-East-Somerset,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Bath-and-North-East-Somerset,Summer Holidays,24 Jul 2019(Wed),30 Aug 2019(Fri)
0,England,Bedford,Autumn Half Term Holidays,22 Oct 2018(Mon),29 Oct 2018(Mon)
1,England,Bedford,Winter Holidays,20 Dec 2018(Thu),2 Jan 2019(Wed)
2,England,Bedford,Spring Half Term Holidays,11 Feb 2019(Mon),15 Feb 2019(Fri)
3,England,Bedford,Spring Holidays,8 Apr 2019(Mon),23 Apr 2019(Tue)
4,England,Bedford,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Bedford,Summer Holidays,22 Jul 2019(Mon),3 Sep 2019(Tue)
0,England,Bexley,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,England,Bexley,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,England,Bexley,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Bexley,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,England,Bexley,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Bexley,Summer Holidays,24 Jul 2019(Wed),30 Aug 2019(Fri)
0,England,Birmingham,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,England,Birmingham,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,England,Birmingham,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Birmingham,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,England,Birmingham,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
