0,Scotland,Aberdeen,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,Scotland,Aberdeen,Autumn Holidays,15 Oct 2018(Mon),26 Oct 2018(Fri)
2,Scotland,Aberdeen,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Scotland,Aberdeen,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
4,Scotland,Aberdeen,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Scotland,Aberdeen,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
6,Scotland,Aberdeen,Summer Holidays,8 Jul 2019(Mon),19 Aug 2019(Mon)
0,Scotland,Aberdeenshire,Autumn Holidays,15 Oct 2018(Mon),26 Oct 2018(Fri)
1,Scotland,Aberdeenshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Scotland,Aberdeenshire,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
3,Scotland,Aberdeenshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
4,Scotland,Aberdeenshire,Summer Holidays,8 Jul 2019(Mon),19 Aug 2019(Mon)
0,Scotland,Angus,Autumn Holidays,1 Oct 2018(Mon),12 Oct 2018(Fri)
1,Scotland,Angus,Winter Half Term Holidays,28 Nov 2018(Wed),30 Nov 2018(Fri)
2,Scotland,Angus,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Scotland,Angus,Spring Half Term Holidays,21 Feb 2019(Thu),25 Feb 2019(Mon)
4,Scotland,Angus,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
5,Scotland,Angus,Summer Holidays,1 Jul 2019(Mon),13 Aug 2019(Tue)
0,Scotland,Argyll and Bute,Autumn Holidays,8 Oct 2018(Mon),19 Oct 2018(Fri)
1,Scotland,Argyll and Bute,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
