,Local Authority,School Holidays,Starts,Finishes
0,barking-and-dagenham,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,barking-and-dagenham,Winter Holidays,21 Dec 2018(Fri),2 Jan 2019(Wed)
2,barking-and-dagenham,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,barking-and-dagenham,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,barking-and-dagenham,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,barking-and-dagenham,Summer Holidays,25 Jul 2019(Thu),2 Sep 2019(Mon)
6,barking-and-dagenham,Autumn Half Term Holidays,21 Oct 2019(Mon),25 Oct 2019(Fri)
7,barking-and-dagenham,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,barking-and-dagenham,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,barking-and-dagenham,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,barking-and-dagenham,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,barking-and-dagenham,Summer Holidays,24 Jul 2020(Fri),
